Bron;Veld;Type;Beschrijving;Null mogelijk;Voorbeeldwaarden;Kardinaliteit;Null %;Verwachte rol
alle;GRAADTOEVOEGING;tekst;Graadtoevoeging (bijv. of Science);Ja;—;~5;Onbekend;Opleidingsdimensie
alle;ISCED;numeriek;ISCED-studiegebiedcode;Nee;—;~50;0%;Opleidingsdimensie
alle;NLQF;numeriek;Niveau Nederlands Kwalificatiekader (NLQF);Nee;—;3;0%;Opleidingsdimensie
alle;EQF;numeriek;Niveau Europees Kwalificatiekader (EQF);Nee;—;3;0%;Opleidingsdimensie
alle;VORM;tekst;Opleidingsvorm;Nee;VOLTIJD, DEELTIJD;3;0%;Opleidingsdimensie
alle;ONDERDEEL;tekst;ISCED-sector / domein;Nee;TAAL_EN_CULTUUR, ONDERWIJS;8;0%;Opleidingsdimensie
alle;SUBONDERDEEL;tekst;Subdomein;Nee;—;~16;0%;Opleidingsdimensie
alle;BEKOSTIGINGSNIVEAU;tekst;Bekostigingsniveau;Nee;LAAG;~3;0%;Financieringsdimensie
alle;GRONDSLAG_STUDIELAST;tekst;Grondslag studielast;Ja;—;~5;Onbekend;Opleidingsattribuut
alle;BEROEPSEISEN;tekst;Beroepseisen;Ja;—;~5;Onbekend;Opleidingsattribuut
alle;OPLEIDINGSERKENNINGSKADER;tekst;Opleidingserkenningskader;Ja;—;~5;Onbekend;Regelgevend
alle;INTENSIEFPROGRAMMA;tekst;Indicator intensief programma;Ja;—;2;Onbekend;Opleidingsattribuut
alle;BEKOSTIGINGSCODE;tekst;Bekostigingscode;Nee;BEKOSTIGD;2;0%;Financieringsdimensie
alle;AANVULLENDE_EISEN;tekst;Aanvullende eisen;Ja;—;~5;Onbekend;Opleidingsattribuut
alle;BEKOSTIGINGSDUUR;numeriek;Bekostigingsduur (in jaren);Nee;—;~5;0%;Opleidingsattribuut
alle;VESTIGINGSLICENTIE_BEGINDATUM;tijdstempel;Begindatum vestigingslicentie;Nee;—;—;0%;Opleidingstijdlijn
alle;VESTIGINGSLICENTIE_EINDDATUM;tijdstempel;Einddatum vestigingslicentie (null = actief);Ja;—;—;Hoog;Opleidingstijdlijn
alle;ACCREDITATIE_BESLUITDATUM;tijdstempel;Datum accreditatiebesluit;Nee;—;—;0%;Accreditatietijdlijn
alle;ACCREDITATIE_BEGINDATUM;tijdstempel;Begindatum accreditatie;Nee;2025-09-01, 2020-04-06;—;0%;Accreditatietijdlijn
alle;ACCREDITATIE_VERVALDATUM;tijdstempel;Vervaldatum accreditatie;Ja;—;—;Onbekend;Accreditatietijdlijn
alle;ACCREDITATIE_AFBOUWDATUM;tijdstempel;Afbouwdatum;Ja;—;—;Hoog;Accreditatietijdlijn
alle;ACCREDITATIE_INLEVERDATUM;tijdstempel;Inleverdatum;Ja;—;—;Hoog;Accreditatietijdlijn
alle;ACCREDITATIE_VOORWAARDENDATUM;tijdstempel;Datum voorwaardelijke accreditatie;Ja;—;—;Hoog;Accreditatietijdlijn
alle;ACCREDITATIE_INTREKKINGSDATUM;tekst;Datum intrekking accreditatie;Ja;—;—;Hoog;Accreditatietijdlijn
alle;ACCREDITATIE_UITSTELDATUM;tijdstempel;Datum uitstel accreditatie;Ja;—;—;Hoog;Accreditatietijdlijn
alle;ACCREDITATIE_UITSTELREDEN;tekst;Reden voor uitstel;Ja;—;—;Hoog;Accreditatiemetadata
alle;SAMENWERKENDEINSTELLINGEN;tekst;Samenwerkende instellingen;Ja;—;—;Hoog;Relatieveld
