"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","GESLACHT","AANTAL_EERSTEJAARS_INGESCHREVENEN"
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",123
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",5
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",104
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","MAN",18
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","VROUW",53
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","MAN",156
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","VROUW",32
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",64
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",63
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",101
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",26
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",226
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",204
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",33
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",21
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","MAN",108
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VROUW",164
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",6
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",22
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","MAN",6
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","VROUW",16
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","MAN",19
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VROUW",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","MAN",23
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","VROUW",19
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","ECONOMIE","n.v.t. (economie)","MAN",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","ECONOMIE","n.v.t. (economie)","VROUW",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",190
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",303
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","MAN",14
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","VROUW",17
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","MAN",900
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VROUW",1309
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",53
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",331
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",30
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",302
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","MAN",70
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VROUW",142
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","MAN",8
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","VROUW",19
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","MAN",98
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","VROUW",168
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","MAN",465
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VROUW",161
"2020","Friesland","0093","Terschelling","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","MAN",70
"2020","Friesland","0093","Terschelling","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VROUW",17
"2020","Gelderland","0200","Apeldoorn","reguliere inst.","bachelor","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","MAN",88
"2020","Gelderland","0200","Apeldoorn","reguliere inst.","bachelor","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","VROUW",132
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","MAN",66
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","VROUW",63
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","MAN",83
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","VROUW",5
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","MAN",454
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","VROUW",316
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","MAN",20
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","VROUW",59
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","MAN",869
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","VROUW",239
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","MAN",11
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","VROUW",55
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","MAN",69
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","VROUW",132
"2020","Gelderland","0222","Doetinchem","reguliere inst.","associate degree","09OT","Iselinge Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",-1
"2020","Gelderland","0222","Doetinchem","reguliere inst.","associate degree","09OT","Iselinge Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",16
"2020","Gelderland","0222","Doetinchem","reguliere inst.","bachelor","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","MAN",49
"2020","Gelderland","0222","Doetinchem","reguliere inst.","bachelor","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","VROUW",91
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","MAN",12
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","VROUW",-1
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",8
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",26
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","VROUW",18
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","MAN",-1
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","VROUW",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","MAN",125
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","VROUW",147
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",62
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",239
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",29
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",190
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","MAN",51
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","VROUW",154
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","MAN",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","VROUW",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","MAN",42
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","VROUW",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",10
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",43
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",13
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","VROUW",17
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","MAN",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","VROUW",5
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","MAN",770
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","VROUW",749
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",397
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",885
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",254
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",1306
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","MAN",94
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","VROUW",264
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","MAN",285
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","VROUW",325
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","MAN",248
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","VROUW",158
"2020","Gelderland","0275","Rheden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",30
"2020","Gelderland","0275","Rheden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",10
"2020","Gelderland","0275","Rheden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",159
"2020","Gelderland","0275","Rheden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",146
"2020","Gelderland","0289","Wageningen","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",8
"2020","Gelderland","0289","Wageningen","reguliere inst.","associate degree","30TX","Aeres Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","MAN",-1
"2020","Gelderland","0289","Wageningen","reguliere inst.","bachelor","30TX","Aeres Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","MAN",26
"2020","Gelderland","0289","Wageningen","reguliere inst.","bachelor","30TX","Aeres Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","VROUW",79
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","ECONOMIE","n.v.t. (economie)","MAN",20
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","ECONOMIE","n.v.t. (economie)","VROUW",13
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",16
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",28
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",-1
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",7
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","ONDERWIJS","leraar basisonderwijs","MAN",-1
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","ONDERWIJS","leraar basisonderwijs","VROUW",15
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","MAN",-1
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","VROUW",-1
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","MAN",37
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","MAN",9
"2020","Groningen","0014","Groningen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","VROUW",7
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","ECONOMIE","n.v.t. (economie)","MAN",1268
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","ECONOMIE","n.v.t. (economie)","VROUW",1172
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",220
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",551
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","MAN",215
"2020","Groningen","0014","Groningen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VROUW",942
